Date,High,Low,Open,Volume,Adj Close
2021-01-04,54.268514,51.779132,54.218726,9993685.875,52.127646
2021-01-05,54.168938,51.878708,51.928495,10462536.875,53.621275
2021-01-06,57.853223,53.92,53.92,16448077.375,56.558745
2021-01-07,57.604285,55.961293,57.554497,9411224.375,56.110656
2021-01-08,56.957046,55.562992,56.210231,9089960.625,56.459169
2021-01-11,57.405134,55.065116,55.314054,8424610.5,57.006833
2021-01-12,59.297064,56.807683,57.305559,11429911.375,58.649825
2021-01-13,58.848975,57.355347,58.649825,6714194.625,57.604285
2021-01-14,58.400887,57.654072,57.803435,7401182.5,58.052373
2021-01-15,57.753648,56.011081,57.753648,9201192.125,56.409382
2021-01-19,58.002586,56.757895,57.156196,7937425.625,56.907258
2021-01-20,57.255771,56.260019,57.255771,7376990.75,56.708107
2021-01-21,56.907258,55.114903,56.757895,8217768.875,55.114903
2021-01-22,55.662567,54.268514,54.617027,6614930.5,55.314054
2021-01-25,55.513204,53.621275,55.463417,11502618.625,54.716602
2021-01-26,60.890268,55.762143,59.894516,26475418.75,56.210231
2021-01-27,57.554497,52.974035,55.164691,18679986.625,56.65832
2021-01-28,57.106408,55.09001,56.807683,11762413.125,55.214479
2021-01-29,55.955816,53.123398,54.76639,13657351.0,53.173186
2021-02-01,54.76639,52.974035,54.069363,8335726.375,53.471912
2021-02-02,56.484063,53.969788,54.168938,10558231.625,55.961293
2021-02-03,56.260019,55.114903,55.961293,6776853.875,55.762143
2021-02-04,57.255771,55.712355,55.911505,8345969.25,57.006833
2021-02-05,57.504709,56.3347,57.305559,6477297.75,56.757895
2021-02-08,58.002586,56.807683,57.106408,5306813.875,57.803435
2021-02-09,57.753648,56.807683,57.554497,6592281.75,57.454922
2021-02-10,57.70386,56.65832,57.70386,5694991.375,56.757895
2021-02-11,57.106408,55.712355,56.708107,6478650.25,57.056621
2021-02-12,58.450674,56.65832,56.807683,7304957.25,58.400887
2021-02-16,59.645577,58.649825,58.848975,7539000.5,59.59579
2021-02-17,59.496215,58.55025,58.948551,5430362.625,59.048126
2021-02-18,59.048126,57.305559,58.948551,6106823.625,57.90301
2021-02-19,59.894516,58.151949,58.351099,7631125.375,59.844728
2021-02-22,63.230287,59.869622,60.093666,12079534.625,62.234534
2021-02-23,62.981348,60.64133,62.73241,9005312.125,62.682623
2021-02-24,66.466482,62.956455,63.728163,13348870.625,65.321367
2021-02-25,66.068181,63.031136,65.221792,11542167.875,63.529012
2021-02-26,63.927313,61.786445,63.130711,11091225.25,62.433685
2021-03-01,66.167757,63.678375,64.325614,9754704.0,65.271579
2021-03-02,65.968606,64.574553,65.47073,9650678.75,64.62434
2021-03-03,67.785854,64.972854,65.172004,14696535.25,66.914571
2021-03-04,70.349917,65.620093,69.105227,20820207.5,67.56181
2021-03-05,68.756713,65.420942,68.706926,13121932.375,67.711173
2021-03-08,71.395457,68.756713,70.748218,17964703.75,70.549068
2021-03-09,71.768865,68.856288,70.200554,14308463.375,69.702678
2021-03-10,68.4082,64.325614,67.960111,27528798.625,65.968606
2021-03-11,64.026889,59.496215,63.180499,38225666.375,61.089419
2021-03-12,62.820037,60.890268,60.940056,16818984.5,62.632835
2021-03-15,66.51627,63.354756,63.429437,13954416.875,66.466482
2021-03-16,66.466482,65.072429,66.366907,9307028.75,65.47073
2021-03-17,67.760961,65.346261,65.719668,9903389.25,67.760961
2021-03-18,68.159262,65.682825,67.661385,7970137.0,65.968606
2021-03-19,66.466482,64.62434,65.719668,8559003.75,65.819243
2021-03-22,65.918818,64.375402,65.520517,6598633.875,65.371155
2021-03-23,65.620093,62.483472,64.524765,8206893.375,63.031136
2021-03-24,64.823491,62.234534,63.529012,7759187.875,62.234534
2021-03-25,64.375402,60.890268,61.736658,9173992.125,63.977101
2021-03-26,65.371155,63.280074,64.474977,7565582.625,64.674128
2021-03-29,64.972854,63.628588,64.325614,6720366.125,64.474977
2021-03-30,66.51627,64.226039,64.62434,6615631.625,66.217544
2021-03-31,66.83989,65.371155,66.615845,7823255.375,65.371155
2021-04-01,66.51627,65.47073,65.869031,7397976.875,66.117969
2021-04-05,67.536916,66.566058,67.063934,6342365.125,67.014146
2021-04-06,67.213297,66.566058,67.014146,5006526.875,66.715421
2021-04-07,67.36266,66.018394,66.715421,5220677.75,66.665633
2021-04-08,67.213297,65.172004,66.018394,6864872.625,66.964359
2021-04-09,68.856288,66.814996,67.213297,7905746.25,67.711173
2021-04-12,68.109474,67.063934,67.760961,5259619.0,67.661385
2021-04-13,67.412447,66.018394,67.263084,6402980.875,66.914571
2021-04-14,68.657138,66.814996,66.864783,8079873.25,68.109474
2021-04-15,68.457987,66.914571,68.358412,6360223.0,67.462235
2021-04-16,68.109474,66.466482,67.860536,6253054.75,66.665633
2021-04-19,67.063934,65.570305,66.317119,5609469.875,67.014146
2021-04-20,66.765208,64.226039,66.765208,7682091.5,65.022641
2021-04-21,66.615845,63.5788,64.375402,6201009.375,66.466482
2021-04-22,68.08458,66.117969,66.466482,6575970.5,66.765208
2021-04-23,67.760961,66.51627,67.213297,5895752.5,67.462235
2021-04-26,69.702678,67.462235,67.860536,11722362.75,67.56181
2021-04-27,67.412447,64.275827,67.213297,18721873.0,67.163509
2021-04-28,66.466482,65.47073,66.366907,8261923.25,65.719668
2021-04-29,66.167757,65.122216,65.620093,6894699.5,65.769456
2021-04-30,66.466482,65.122216,65.520517,6237442.375,65.321367
2021-05-03,67.36266,65.570305,65.918818,7934060.625,66.964359
2021-05-04,66.640739,65.072429,66.416695,9692272.875,65.321367
2021-05-05,66.167757,65.172004,65.520517,6958036.375,65.769456
2021-05-06,66.267332,64.873278,65.819243,7847153.25,65.769456
2021-05-07,66.416695,65.072429,65.520517,6735083.375,66.217544
2021-05-10,67.611598,66.217544,66.267332,8195255.75,66.466482
2021-05-11,66.167757,64.42519,65.66988,8501530.0,65.172004
2021-05-12,65.371155,63.5788,65.122216,8856212.125,63.827738
2021-05-13,64.923066,63.329862,63.728163,8197853.5,64.574553
2021-05-14,66.217544,64.873776,65.321367,6334675.5,66.018394
2021-05-17,66.416695,65.321367,65.869031,9542240.25,65.47073
2021-05-18,66.068181,64.574553,65.620093,6115792.75,64.574553
2021-05-19,65.221792,63.678375,64.226039,7427025.125,65.172004
2021-05-20,65.265605,64.325614,65.172004,5809332.125,65.022641
2021-05-21,66.117969,64.972854,65.271579,6665009.0,65.869031
2021-05-24,66.267332,65.321367,66.167757,4876594.125,65.620093
2021-05-25,66.167757,65.221792,65.719668,5916211.875,65.321367
2021-05-26,66.83989,64.923066,65.321367,7533708.5,66.715421
2021-05-27,71.694183,67.661385,67.711173,23073572.625,71.445245
2021-05-28,71.395457,69.852041,71.146519,9071486.375,70.001404
2021-06-01,71.395457,70.200554,70.847794,6284615.5,70.449493
2021-06-02,70.598855,69.752466,70.598855,4992106.0,70.150767
2021-06-03,71.54482,69.403952,69.652891,7895477.25,70.150767
2021-06-04,70.698431,69.005651,70.49928,8008894.375,69.503528
2021-06-07,70.026298,69.005651,69.702678,4668637.5,69.254589
2021-06-08,69.627997,68.308625,69.553315,5515246.125,69.204802
2021-06-09,68.756713,68.059686,68.557563,6970965.0,68.358412
2021-06-10,69.055439,67.661385,68.756713,6229849.5,67.860536
2021-06-11,68.60735,67.56181,67.960111,5295660.875,68.159262
2021-06-14,68.856288,66.765208,68.60735,5678222.625,67.063934
2021-06-15,67.56181,66.267332,66.964359,4753236.125,67.412447
2021-06-16,67.960111,66.167757,67.213297,8766406.5,66.914571
2021-06-17,67.263084,64.275827,66.765208,9626678.25,64.723915
2021-06-18,64.823491,63.479225,63.927313,10258083.25,63.628588
2021-06-21,65.66988,64.026889,64.176252,6744261.0,65.66988
2021-06-22,65.694774,64.42519,65.321367,4783572.0,64.873278
2021-06-23,65.66988,64.42519,64.823491,5459693.0,64.474977
2021-06-24,65.719668,64.325614,65.022641,5977556.125,65.47073
2021-06-25,65.918818,65.221792,65.520517,4264449.0,65.520517
2021-06-28,65.570305,63.678375,65.520517,7723447.75,64.176252
2021-06-29,65.869031,64.524765,65.022641,8649644.5,65.172004
2021-06-30,67.337766,64.972854,65.47073,8568975.25,67.014146
2021-07-01,67.860536,66.51627,67.611598,5836633.0,67.113722
2021-07-02,67.412447,66.267332,67.412447,4149986.625,66.51627
2021-07-06,66.317119,63.827738,66.117969,8829845.0,64.325614
2021-07-07,65.097323,63.429437,64.126464,7632563.625,64.62434
2021-07-08,64.42519,62.782198,63.379649,6727847.5,64.076676
2021-07-09,65.66988,64.42519,64.773703,5165287.75,65.520517
2021-07-12,65.396048,64.226039,65.022641,6969832.375,65.271579
2021-07-13,65.172004,64.126464,65.172004,4926443.875,64.176252
2021-07-14,64.62434,63.329862,64.126464,5588732.375,63.77795
2021-07-15,64.325614,62.583047,63.180499,6423853.375,63.529012
2021-07-16,64.076676,62.334109,63.728163,5695470.375,62.483472
2021-07-19,60.940056,58.848975,60.691118,12362151.0,59.745153
2021-07-20,63.429437,59.695365,59.79494,9390363.375,63.230287
2021-07-21,65.271579,63.5788,63.678375,8440719.125,65.122216
2021-07-22,65.022641,63.230287,64.972854,5427872.0,63.230287
2021-07-23,64.126464,62.881773,63.728163,4722408.875,63.280074
2021-07-26,64.42519,62.881773,63.031136,6728612.125,64.325614
2021-07-27,67.063934,63.728163,66.366907,14930536.0,65.122216
2021-07-28,67.113722,64.923066,65.47073,8571032.25,65.371155
2021-07-29,66.615845,65.172004,65.66988,6784558.0,66.167757
2021-07-30,65.819243,64.325614,65.520517,7507843.0,64.474977
2021-08-02,66.721644,62.503201,65.022641,24885503.0,62.607941
2021-08-03,64.226039,61.058301,62.359003,14440015.0,64.138911
2021-08-04,64.381625,63.143158,63.360979,14144326.0,64.045559
2021-08-05,65.122216,63.802844,64.10157,8130781.0,64.114017
2021-08-06,65.508071,64.325614,64.325614,10988174.0,65.047535
2021-08-09,64.891886,63.497895,64.450083,7954709.0,64.543435
2021-08-10,66.17398,64.226039,64.60567,8056071.0,66.018394
2021-08-11,66.099299,64.611893,66.099299,8305138.0,65.9935
2021-08-12,66.734091,65.495624,66.086852,6400312.0,66.292226
2021-08-13,66.35446,65.084876,66.279779,5619902.0,65.296473
2021-08-16,64.910619,63.628588,64.867055,6919442.0,64.319391
2021-08-17,64.269603,62.458578,63.815291,8177375.0,63.242734
2021-08-18,64.394072,62.707517,62.906667,6496462.0,63.112041
2021-08-19,62.744857,61.363251,62.234534,10805749.0,61.873574
2021-08-20,62.651505,61.674423,61.979372,6356677.0,62.265651
2021-08-23,63.155605,62.402567,62.607941,6007436.0,62.838209
2021-08-24,64.418966,62.89422,63.03736,6857682.0,64.269603
2021-08-25,65.424054,63.821515,64.325614,7867116.0,65.159557
2021-08-26,65.10977,64.001995,65.010194,8166535.0,64.338061
2021-08-27,66.058846,64.661681,64.661681,7770955.0,66.024617
2021-08-30,66.254885,65.221792,66.17398,7145665.0,65.464506
2021-08-31,66.19265,65.010194,65.30892,10990786.0,65.601422
2021-09-01,65.638763,64.264002,65.570305,7968108.0,64.512318
2021-09-02,66.180204,64.711469,64.723915,8494837.0,66.130416
2021-09-03,66.814996,64.773703,65.968606,7617749.0,65.190674
2021-09-07,65.30892,63.672152,65.035088,10991680.0,64.28205
2021-09-08,65.178228,62.495919,64.070453,12001303.0,63.840185
2021-09-09,65.296473,63.547683,63.703269,9386479.0,64.28205
2021-09-10,64.692798,63.339197,64.28205,9563565.0,63.479225
2021-09-13,65.259132,63.491672,63.883749,12484208.0,65.010194
2021-09-14,65.066205,62.279779,65.059982,16022583.0,62.471025
2021-09-15,63.771727,62.663952,62.726187,8103742.0,63.5788
2021-09-16,63.914804,62.744857,63.721939,5981928.0,63.068477
2021-09-17,63.394337,62.315439,62.950231,10721927.0,62.527036
2021-09-20,62.150517,60.535531,61.301016,10103807.0,62.116288
2021-09-21,62.228311,59.875845,62.1723,15788637.0,60.255476
2021-09-22,61.627747,60.778246,60.784469,11216068.0,61.32591
2021-09-23,64.773703,61.935808,61.942032,11601086.0,64.076676
2021-09-24,64.845273,63.852632,63.889973,6559540.0,64.599446
2021-09-27,66.176345,64.96663,65.066205,8081525.0,65.564082
2021-09-28,66.435365,65.17829,65.526741,12551695.0,65.800573
2021-09-29,66.590951,65.537819,65.968606,7399248.0,66.142863
2021-09-30,66.646963,64.070453,66.19265,8946772.0,64.12024
2021-10-01,66.211259,64.518541,64.835938,8094466.0,65.856584
2021-10-04,66.640739,65.097323,65.595199,7656188.0,65.284026
2021-10-05,65.965494,64.568329,65.383601,5737196.0,65.284026
2021-10-06,64.9853,63.516565,64.524765,7013886.0,64.929289
2021-10-07,66.298449,64.929289,65.246686,6656476.0,65.663657
2021-10-08,66.105522,65.134663,65.576529,4273578.0,65.172004
2021-10-11,65.819243,64.705245,65.246686,4121833.0,64.773703
2021-10-12,64.748809,63.205393,64.450083,8549578.0,63.927313
2021-10-13,64.226039,62.968902,63.603694,7519190.0,63.703269
2021-10-14,64.506095,63.709493,64.188698,6140944.0,63.93976
2021-10-15,65.906372,64.219816,64.506095,5650266.0,64.979077
2021-10-18,65.078714,64.126464,64.524765,4145535.0,64.798597
2021-10-19,65.32759,64.46253,65.084876,4216374.0,65.178228
2021-10-20,65.981053,64.643011,65.190674,6107906.0,65.968606
