Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-08-10,3.0,0.0017,12.0
2021-08-11,8.0,0.0101,11.0
2021-08-12,1.0,0.0003,3.0
2021-08-13,0.0,0.0,26.0
2021-08-16,0.0,0.0,1.0
2021-08-17,0.0,-0.0021,9.0
2021-08-18,3.0,-0.0063,11.0
2021-08-19,0.0,-0.0767,2.0
2021-08-20,0.0,-0.0007,11.0
2021-08-23,0.0,-0.0019,0.0
2021-08-24,7.0,0.0163,4.0
2021-08-25,0.0,-0.0002,9.0
2021-08-26,2.0,-0.0017,10.0
2021-08-27,0.0,-0.0043,8.0
2021-08-30,1.0,0.0011,3.0
2021-08-31,0.0,-0.0226,1.0
2021-09-01,0.0,-0.0003,8.0
2021-09-02,4.0,-0.0613,11.0
2021-09-03,8.0,0.0128,6.0
2021-09-06,0.0,0.0,2.0
2021-09-07,0.0,0.0,3.0
2021-09-08,1.0,0.0002,21.0
2021-09-09,2.0,0.0008,15.0
2021-09-10,1.0,-0.0007,15.0
2021-09-13,0.0,0.0,7.0
2021-09-14,2.0,0.0011,18.0
2021-09-15,0.0,-0.0181,6.0
2021-09-16,2.0,0.0007,8.0
2021-09-17,1.0,-0.0007,9.0
2021-09-20,0.0,-0.0093,4.0
2021-09-21,0.0,-0.0232,12.0
2021-09-22,2.0,-0.0048,8.0
2021-09-23,2.0,-0.0157,8.0
2021-09-24,7.0,-0.1239,14.0
2021-09-27,1.0,0.0066,3.0
2021-09-28,2.0,0.0005,12.0
2021-09-29,2.0,-0.0009,15.0
2021-09-30,0.0,-0.0022,10.0
2021-10-01,1.0,-0.0176,11.0
2021-10-04,0.0,0.0,6.0
2021-10-05,0.0,-0.0004,13.0
2021-10-06,3.0,0.0012,12.0
2021-10-07,2.0,0.0001,7.0
2021-10-08,5.0,0.0024,17.0
2021-10-11,3.0,0.0042,5.0
2021-10-12,2.0,-0.0099,22.0
2021-10-13,51.0,0.0593,58.0
2021-10-14,54.0,0.0496,113.0
2021-10-15,8.0,0.0047,15.0
2021-10-18,1.0,-0.0006,3.0
2021-10-19,0.0,-0.0006,10.0
2021-10-20,2.0,0.0004,10.0
2021-10-21,2.0,0.0005,6.0
2021-10-22,2.0,-0.0011,20.0
2021-10-25,2.0,0.0046,2.0
2021-10-26,1.0,-0.0004,5.0
2021-10-27,2.0,0.0013,5.0
2021-10-28,5.0,0.0036,9.0
2021-10-29,2.0,0.0034,9.0
2021-11-01,1.0,-0.0006,5.0
2021-11-02,1.0,-0.0007,8.0
2021-11-03,2.0,0.0007,9.0
2021-11-04,1.0,0.0002,9.0
2021-11-05,0.0,-0.0071,13.0
2021-11-08,0.0,-0.0012,6.0
2021-11-09,1.0,-0.0004,6.0
2021-11-10,0.0,-0.0003,3.0
2021-11-11,1.0,-0.0005,5.0
2021-11-12,4.0,-0.0066,2.0
2021-11-15,0.0,-0.0006,6.0
2021-11-16,1.0,-0.0891,12.0
2021-11-17,4.0,-0.0508,11.0
2021-11-18,0.0,-0.0077,15.0
2021-11-19,3.0,-0.0014,17.0
2021-11-22,0.0,-0.0011,1.0
2021-11-23,8.0,-0.016,15.0
2021-11-24,6.0,-0.0029,25.0
2021-11-25,0.0,-0.0011,24.0
2021-11-26,0.0,-0.0016,2.0
2021-11-29,2.0,0.005,2.0
2021-11-30,1.0,-0.004,11.0
2021-12-01,0.0,-0.0048,18.0
2021-12-02,0.0,-0.0017,8.0
2021-12-03,2.0,-0.0036,1.0
2021-12-06,0.0,0.0,4.0
2021-12-07,3.0,0.0016,10.0
2021-12-08,0.0,0.0,6.0
2021-12-09,2.0,-0.0034,14.0
2021-12-10,0.0,-0.0013,14.0
2021-12-13,0.0,0.0,13.0
2021-12-14,0.0,-0.1204,17.0
2021-12-15,0.0,-0.0062,17.0
2021-12-16,1.0,-0.0047,9.0
2021-12-17,1.0,-0.0039,6.0
2021-12-20,0.0,-0.0399,4.0
2021-12-21,0.0,-0.048,9.0
2021-12-22,1.0,-0.0718,2.0
2021-12-23,5.0,0.0217,4.0
2021-12-24,2.0,-0.0209,6.0
2021-12-27,1.0,0.3225,1.0
2021-12-28,2.0,0.0039,7.0
2021-12-29,1.0,0.0008,11.0
2021-12-30,1.0,0.0005,2.0
2021-12-31,0.0,-0.0019,2.0
2022-01-03,0.0,0.0,6.0
2022-01-04,3.0,0.0032,4.0
2022-01-05,14.0,0.0678,9.0
2022-01-06,0.0,-0.0011,4.0
2022-01-07,2.0,-0.0034,2.0
2022-01-10,1.0,0.0003,8.0
2022-01-11,15.0,0.0092,52.0
2022-01-12,3.0,0.0003,24.0
2022-01-13,4.0,0.0022,6.0
2022-01-14,25.0,-0.0746,61.0
2022-01-17,1.0,-0.0054,12.0
2022-01-18,0.0,-0.0074,3.0
2022-01-19,1.0,-0.0493,10.0
2022-01-20,1.0,-0.0062,10.0
2022-01-21,3.0,-0.0006,30.0
2022-01-24,1.0,-0.0048,8.0
2022-01-25,7.0,-0.0275,21.0
2022-01-26,1.0,-0.0016,12.0
2022-01-27,1.0,-0.0026,10.0
2022-01-28,0.0,-0.0079,6.0
2022-01-31,2.0,0.0001,3.0
2022-02-01,1.0,-0.0014,7.0
2022-02-02,1.0,0.0003,8.0
2022-02-03,4.0,-0.0021,17.0
2022-02-04,3.0,-0.0021,3.0
