Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-09-03,0.0,0.0,16
2021-09-06,0.0,0.0,16
2021-09-07,0.0,0.0,11
2021-09-08,0.0,0.0,27
2021-09-09,0.0,0.0,14
2021-09-10,1.0,-0.0065,24
2021-09-13,1.0,0.0014,36
2021-09-14,1.0,0.0019,44
2021-09-15,3.0,0.0017,56
2021-09-16,3.0,-0.0029,101
2021-09-17,0.0,-0.0202,45
2021-09-20,0.0,-0.1835,22
2021-09-21,1.0,-0.5179,37
2021-09-22,0.0,-0.0043,36
2021-09-23,2.0,0.0096,50
2021-09-24,2.0,0.0074,39
2021-09-27,0.0,0.0,62
2021-09-28,3.0,0.0089,77
2021-09-29,0.0,-0.0153,42
2021-09-30,0.0,-0.0753,17
2021-10-01,0.0,-0.0016,19
2021-10-04,0.0,0.0,12
2021-10-05,4.0,0.0544,30
2021-10-06,7.0,0.1674,31
2021-10-07,1.0,0.002,45
2021-10-08,5.0,0.109,54
2021-10-11,2.0,0.0114,16
2021-10-12,0.0,-0.0015,13
2021-10-13,1.0,-0.0587,66
2021-10-14,1.0,-0.006,22
2021-10-15,7.0,0.0282,54
2021-10-18,3.0,0.0049,48
2021-10-19,8.0,0.0137,71
2021-10-20,0.0,-0.0035,38
2021-10-21,1.0,-0.0035,24
2021-10-22,0.0,-0.0021,24
2021-10-25,1.0,0.0039,21
2021-10-26,2.0,0.0046,44
2021-10-27,3.0,0.006,29
2021-10-28,0.0,-0.0504,45
2021-10-29,1.0,0.0033,19
2021-11-01,0.0,-0.0096,11
2021-11-02,2.0,-0.022,22
2021-11-03,3.0,0.0072,52
2021-11-04,0.0,-0.076,44
2021-11-05,0.0,-0.0976,29
2021-11-08,2.0,0.3838,14
2021-11-09,1.0,0.0044,14
2021-11-10,0.0,-0.0189,24
2021-11-11,0.0,-0.0409,43
2021-11-12,1.0,-0.0005,41
2021-11-15,0.0,0.0,5
2021-11-16,0.0,-0.0146,54
2021-11-17,2.0,0.0017,58
2021-11-18,1.0,-0.0346,36
2021-11-19,1.0,-0.0043,25
2021-11-22,0.0,0.0,20
2021-11-23,8.0,0.0702,54
2021-11-24,7.0,0.0814,36
2021-11-25,0.0,-0.185,17
2021-11-26,0.0,-0.0894,5
2021-11-29,0.0,-0.0046,18
2021-11-30,0.0,-0.0043,34
2021-12-01,0.0,-0.0029,25
2021-12-02,2.0,0.0047,25
2021-12-03,4.0,0.0216,43
2021-12-06,0.0,-0.0016,33
2021-12-07,5.0,0.0191,30
2021-12-08,1.0,0.0006,33
2021-12-09,0.0,-0.2991,28
2021-12-10,0.0,-0.1652,36
2021-12-13,0.0,0.0,30
2021-12-14,3.0,0.0134,57
2021-12-15,2.0,0.0052,42
