Date,High,Low,Open,Volume,Adj Close,P,R1,R2,R3,S1,S2,S3,OBV,MACD,MACDS,MACDH,SMA,SEMA,LMA,LEMA,RSI,SR_K,SR_D,SR_RSI_K,SR_RSI_D,ATR,HL_PCT,PCT_CHG,Engulfing_Indication,Support_Resistance_Indication,MA_Indication,MADC_Indication,SR_Indication,RSI_Divagence_Convergence,EMA_7,EMA_30,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2021-01-04,61.7083,59.73,61.59,21286201.0,60.14,60.52609999999999,61.28181059999999,61.748689399999996,62.5044,59.77038939999999,59.30351059999999,58.54779999999999,,0.0,0.0,0.0,,,,,,,,,,1.9783000000000044,3.2894911872298045,-2.3542782919305125,2.0,1.0,1.0,1.0,1.0,1.0,60.14,60.14,-12463128.250669707,21286201.0,-0.585502704342109,0.0,0.0,0.0,0.0,60.52610000000001,50.0,1000.0,60.14,60.14,60.14,0.0,0.0,0.0,0.0,60.52610000000001,62.504400000000004,58.547799999999995,6.537014610226015,0.4024162159429818,0.0,0.0,59.73,61.7083,60.71915,3.2894911872298045,0.20724864782894545,0.0,0.0,0.0,0.0,0.0,60.14,60.14,60.14,60.14,0.0,0.0,0.0,7.932269096962438,1.0,-4.464196319018406,80.18198254663614,80.18198254663614,0.0,60.71915,60.71915,60.71915,60.71915,0.0,0.0,0.0,0.0,0.0,55.64224168711657,55.65917607361964,0.0,0.0,0.0,59.73,69.425,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.724864782894546,20.724864782894546,-79.27513521710546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14,0.0,0.0,0.0
2021-01-05,62.0,60.02,60.35,20213115.0,61.7,61.24,61.99636,62.46364,63.22,60.48364,60.016360000000006,59.260000000000005,20213115.0,0.12444444444444969,0.02488888888888994,0.09955555555555975,,,,,,,,,,1.9784214285714325,3.2090761750405137,2.2369511184755617,0.0,1.0,1.0,0.0,1.0,1.0,60.53,60.240645161290324,1624800.3856939785,41499316.0,0.03915246183079207,31532459.400000047,2.8490561697195314,2.8490561697195314,524317.5823079487,60.87382001539737,100.0,1025.9394745593615,60.92,62.480000000000004,59.36,5.121470781352601,0.75,0.0,0.0,60.88305000000001,62.8622,58.90390000000001,6.501481118307958,0.7063891064345804,0.0,0.0,59.73,62.0,60.864999999999995,3.7261982928430775,0.8678414096916314,0.0,0.0,0.12444444444444969,0.02488888888888994,0.09955555555555975,60.92,60.92,60.38,60.25555555555555,0.28330746244612276,0.21070836513118407,0.07259909731493869,0.005066303624879544,2.000137487060041,-5.244196319018407,94.19165907451071,87.18682081057342,7.0048382639372875,60.864999999999995,60.864999999999995,60.864999999999995,60.864999999999995,0.0,0.0,0.0,0.0,66.666666666666,55.64224168711657,55.65917607361964,4.0,0.0,4.0,59.73,69.425,0.0,0.0,100.0,0.0,0.0,0.0,100.0,42.44246267336986,86.78414096916313,53.75450287602884,-13.21585903083686,0.0,0.0,0.2065277521667061,0.04130555043334122,0.16522220173336488,-0.40365662229830374,-0.08073132445966075,-0.322925297838643,60.4086036737054,2.593947455936152,2.560875335095947,2.593947455936152
2021-01-06,66.6,63.95,64.49,38106606.0,65.25,65.26666666666667,66.27896666666666,66.90436666666666,67.91666666666666,64.25436666666667,63.62896666666667,62.616666666666674,58319721.0,0.5037163659385939,0.12065438429883074,0.3830619816397632,,,,,,,,,,2.1871056122449013,4.061302681992324,1.1784772832997443,0.0,1.0,1.0,0.0,1.0,1.0,61.71,60.56382934443289,905807.8196562811,79605922.0,0.011378648684657922,46353315.38571431,29.659555616157355,16.254305892938444,2716837.0523241516,62.976634383382944,100.0,1025.9394745593615,62.36333333333334,66.63979084965322,58.08687581701345,13.714653427718918,0.837506762975023,0.0,0.0,62.344255555555556,64.54702222222222,60.141488888888894,7.06646232932803,1.1595670091652412,1.0,0.0,59.73,66.6,63.16499999999999,11.016088513549624,0.8034934497816602,0.0,0.0,0.5037163659385939,0.12065438429883074,0.3830619816397632,62.36333333333334,62.36333333333334,61.12923076923077,60.62551440329218,0.6853825767961783,0.28176581120424155,0.40361676559193677,0.024826877587419954,3.0538134683510014,-6.687529652351742,120.11554769232986,98.16306310449222,21.95248458783763,63.16499999999999,63.16499999999999,63.16499999999999,63.16499999999999,0.0,0.0,0.0,0.0,100.0,55.64224168711657,55.65917607361964,8.0,0.0,8.0,59.73,69.425,1.0,0.0,100.0,0.0,0.0,0.0,100.0,59.040673718433574,80.34934497816602,62.6194502434079,-19.650655021833984,0.0,0.0,0.8308653062929563,0.19921750160526425,0.6316478046876921,5.680270909930519,1.0714691224183752,4.608801787512143,61.30475689930925,5.753646677471624,5.594211529146076,8.496840705021613
2021-01-07,68.1,66.01,67.07,24161020.0,66.02,66.71,67.50837999999999,68.00161999999999,68.79999999999998,65.91162,65.41838,64.62,82480741.0,0.8565508757594884,0.2678336825909623,0.5887171931685261,,,,,,,,,,2.234455211370265,3.165707361405618,-1.56552855225883,2.0,1.0,1.0,0.0,1.0,1.0,62.7875,60.91584035446948,-23024006.24732957,103766942.0,-0.22188189999209545,42389125.38775511,15.39752874671675,15.968713510864546,3001955.602515722,63.84590854326322,100.0,1038.046346519679,63.2775,68.15033028639414,58.40466971360587,15.40146272022167,0.7814072970751282,0.0,0.0,63.43569166666667,65.61026666666666,61.26111666666667,6.855998391021438,1.0942099797278402,1.0,0.0,59.73,68.1,63.91499999999999,13.227450515586103,0.7514934289127839,0.0,0.0,0.8565508757594884,0.2678336825909623,0.5887171931685261,63.2775,63.2775,61.88165680473373,61.02510592897424,0.824742460641511,0.26825065741003823,0.5564918032314727,0.056021117575034016,4.094507853255005,-7.601696319018409,136.5350083238239,107.75604940932514,28.778958914498745,63.91499999999999,63.91499999999999,63.91499999999999,63.91499999999999,0.0,0.0,0.0,0.0,85.51424395860056,55.64224168711657,55.65917607361964,12.0,0.0,12.0,60.004799999999996,69.425,0.0,0.0,100.0,0.0,0.0,0.0,100.0,51.245697496647665,75.14934289127838,80.76094294620252,-24.850657108721613,0.0,0.0,1.4036040785515536,0.44009481699452213,0.9635092615570314,5.38087800859514,1.9333508996537283,3.4475271089414115,61.95545515207466,1.1800766283524888,1.1731680222244023,9.777186564682406
2021-01-08,66.21,64.34,66.21,20747754.0,65.37,65.30666666666666,66.02100666666665,66.46232666666666,67.17666666666665,64.59232666666666,64.15100666666666,63.43666666666667,61732987.0,1.0713750543854417,0.4285419569498582,0.6428330974355835,,,,,,,,,,2.2084226962723883,2.86063943705062,-1.2686905301313838,2.0,1.0,1.0,0.0,1.0,1.0,63.433125000000004,61.20320549289081,-20915945.680484507,83019188.0,-0.16797973534372607,34406958.88950441,-16.043182312649286,7.965739554986088,2797683.5622249036,64.08931314666744,79.7515047701728,1027.8262597999308,63.696000000000005,68.36481740915191,59.0271825908481,14.659687921225526,0.679274520001424,0.0,0.0,63.80988666666667,65.92354666666667,61.696226666666675,6.624866804861887,0.869054941034352,0.0,0.0,59.73,68.1,63.91499999999999,13.140542577241893,0.6738351254480298,0.0,0.0,1.0713750543854417,0.4285419569498582,0.6428330974355835,63.696000000000005,63.696000000000005,62.41832498862085,61.34694993423541,0.748617765810192,0.45304418928951173,0.2955735765206803,0.09127690298636086,5.108193642637586,-8.02019631901841,144.0517386147412,115.01518725040835,29.03655136433285,63.91499999999999,63.91499999999999,63.91499999999999,63.91499999999999,0.0,0.0,0.0,0.0,42.61654505262234,55.64224168711657,55.65917607361964,12.0,0.0,12.0,60.490511999999995,69.425,0.0,0.0,88.54624079608648,0.0,0.0,0.0,99.09957205144518,51.77378611460938,67.38351254480298,74.29406680474914,-32.61648745519702,0.0,0.0,1.7464194316652537,0.7013597399286685,1.045059691736585,3.9278934400078516,2.3322594077245533,1.5956340322832983,62.35639303660499,-0.9845501363223153,-0.9894288800408546,8.696375124709022
2021-01-11,66.62,64.33,64.58,20460269.0,66.44,65.79666666666667,66.67144666666667,67.21188666666667,68.08666666666667,64.92188666666667,64.38144666666666,63.50666666666666,82193256.0,1.3128313190708951,0.6053998293740656,0.7074314896968296,,,,,,,,,,2.2142496465386468,3.4467188440698466,2.880148652833694,0.0,1.0,1.0,0.0,1.0,1.0,64.18484375,61.54106320302689,-3672138.1826680265,103479457.0,-0.0253294641779567,32619177.309575193,2.2384847432846935,6.8202885926458094,3132584.7069396004,64.33027138588676,83.14279492082343,1044.6500948616704,64.15333333333334,68.88069576449466,59.42597090217201,14.737698527989165,0.7418543849730724,0.0,0.0,64.14101666666666,66.28406666666666,61.99796666666668,6.682307550992436,1.036381170139133,1.0,0.0,59.73,68.1,63.91499999999999,13.046866881429903,0.8016726403823181,0.0,0.0,1.3128313190708951,0.6053998293740656,0.7074314896968296,64.15333333333334,64.15333333333334,63.03704422114072,61.72421290206982,0.7770110608690377,0.49533451240141596,0.28167654846762175,0.13097147453409463,6.136984042870232,-8.477529652351741,152.2659592114266,121.2236492439114,31.04230996751521,63.91499999999999,63.91499999999999,63.91499999999999,63.91499999999999,0.0,0.0,0.0,0.0,50.81850643039152,55.64224168711657,55.65917607361964,12.0,0.0,12.0,60.94708127999999,69.425,0.0,0.0,90.47939944681751,0.0,0.0,0.0,98.38829886432953,57.59911269638212,80.16726403823182,74.23337315810438,-19.832735961768186,0.6831416666666712,0.0,2.126930838557313,0.9864739596543974,1.1404568789029157,2.634324329529007,2.3926723920854442,0.24165193744356284,62.90714654734765,1.6368364693284176,1.623584712045556,10.47555703358829
2021-01-12,67.74,66.24,67.49,20162825.0,66.67,66.88333333333333,67.45633333333332,67.81033333333333,68.38333333333333,66.31033333333333,65.95633333333332,65.38333333333333,102356081.0,1.5053929928948762,0.7853984620782277,0.7199945308166484,,,,,,,,,,2.163231814643029,2.2498875056247187,-1.2149948140465154,0.0,1.0,1.0,0.0,1.0,1.0,64.8061328125,61.871962351218706,-12274943.516001176,123642282.0,-0.0743315234871508,28621787.65820732,11.2707420711135,7.562030839057091,3202383.7700040205,64.64199253257598,85.56467587921858,1048.2664332394277,64.51285714285714,69.23064977786547,59.79506450784883,14.625898910541965,0.7286178117638962,0.0,0.0,64.53277619047618,66.58396190476189,62.481590476190476,6.357035402386499,1.0209727706854839,1.0,0.0,59.73,68.1,63.91499999999999,12.97415797515445,0.8291517323775397,0.0,0.0,1.5053929928948762,0.7853984620782277,0.7199945308166484,64.51285714285714,64.51285714285714,63.59596049481138,62.0905675019165,0.8817833234136153,0.4783896259046985,0.4033936975089168,0.17233415132912916,7.112472126411428,-8.837053461875549,158.72341084668014,126.58075804430693,32.142652802373206,63.91499999999999,63.91499999999999,63.91499999999999,63.91499999999999,0.0,0.0,0.0,0.0,75.13760001565696,55.64224168711657,55.65917607361964,12.0,0.0,12.0,61.37625640319999,69.425,0.0,0.0,90.83738668831776,0.0,0.0,0.0,97.81722095185386,55.100384032979676,82.91517323775396,76.82198327359626,-17.084826762246035,1.471264285714284,0.0,2.4245115698908863,1.2740814817016952,1.1504300881891911,1.4745773203635082,2.209053377741057,-0.7344760573775488,63.329631556284724,0.3461770018061472,0.34557918848747704,10.857998004655812
2021-01-13,67.215,65.9884,67.0,18541850.0,66.86,66.6878,67.15636119999999,67.4458388,67.9144,66.2192388,65.92976119999999,65.46119999999999,120897931.0,1.6542616206157135,0.959171093785725,0.6950905268299885,,,,,,,,,,2.0963295421685273,1.8345797188154422,-0.20895522388059787,0.0,1.0,1.0,0.0,1.0,1.0,65.31959960937499,62.19377123178524,-4465780.210930326,142184132.0,-0.02431287545495149,25036239.63560627,-2.5687230777942567,6.114780279506898,3255225.400422497,64.84851000609594,75.6049453173485,1051.2538432036617,64.80625,69.48445411589746,60.12804588410255,14.437509085612755,0.719501965831391,0.0,0.0,64.80215416666667,66.75026666666666,62.85404166666667,6.0124930260484435,1.0281640134574719,1.0,0.0,59.73,68.1,63.91499999999999,12.915420966341976,0.8518518518518524,0.0,0.0,1.6542616206157135,0.959171093785725,0.6950905268299885,64.80625,64.80625,64.09812041868655,62.443858798070835,0.8770769358828409,0.5298180479688144,0.3472588879140265,0.2132059680837756,8.031617640652387,-9.13044631901841,163.99307626227034,131.25729782155236,32.73577844071798,63.91499999999999,63.91499999999999,63.91499999999999,63.91499999999999,0.0,0.0,0.0,0.0,64.1522740280428,55.64224168711657,55.65917607361964,12.0,0.0,12.0,61.77968101900799,69.425,0.0,0.0,91.13396744874898,0.0,0.0,0.0,97.35243754005441,59.97322277624891,85.18518518518523,82.75587415372367,-14.814814814814758,1.4792337499999917,0.0,2.6491982597763815,1.5491048373166325,1.100093422459749,-0.05020320173404467,1.757202061846037,-1.8074052635800815,63.61188763550618,0.284985750712452,0.28458043619838946,11.173927502494173
2021-01-14,69.425,67.17,67.52,29108871.0,69.01,68.53500000000001,69.39641,69.92859000000001,70.79,67.67359000000002,67.14141000000001,66.28000000000002,150006802.0,1.9235545725837113,1.1520477895453223,0.771506783038389,,,,,,,,,,2.1298060034422037,3.2676423706709103,2.2067535545023835,0.0,1.0,1.0,0.0,1.0,1.0,66.24219970703125,62.633527926508776,13928960.886630837,171293003.0,0.06545917738308173,30400215.780519683,13.136988377185734,6.9925562917167525,4191271.95516375,65.35281148915554,79.46195333128381,1051.2538432036617,65.27333333333334,70.41485061911581,60.13181604755087,15.75380641134451,0.8633817080611054,0.0,0.0,65.21691481481481,67.19912592592593,63.23470370370371,6.078825153687969,1.4567813347234773,1.0,0.0,59.73,69.425,64.5775,14.852926156674496,0.9571944301186187,0.0,0.0,1.9235545725837113,1.1520477895453223,0.771506783038389,65.27333333333334,65.27333333333334,64.85379420042707,62.93023962784336,0.9241497178871384,0.4777050046768801,0.4464447132102583,0.2583898342303205,9.000502006073383,-9.597529652351746,172.3824178155542,135.82675559866368,36.55566221689051,64.5775,64.5775,64.5775,64.5775,0.0,0.0,0.0,0.0,114.84270946255788,55.64224168711657,55.65917607361964,32.0,0.0,32.0,62.15890015786751,69.425,0.0,0.0,93.64191929856628,0.0,0.0,0.0,97.01386868085879,61.75074696629127,95.71944301186187,87.93993381160034,-4.280556988138134,1.33913444444444,0.0,3.056645873206938,1.8506130444946938,1.2060328287122442,2.5329168686948416,1.912345023215798,0.6205718454790436,64.17183066535173,3.2156745438229217,3.1650540640558056,14.748919188560027
2021-01-15,67.6499,64.09,67.37,38243793.0,64.23,65.3233,66.6831818,67.5233182,68.8832,63.96341820000001,63.1232818,61.763400000000004,111763009.0,1.7313076879707907,1.2678997692304161,0.46340791874037457,,,,,,,,,,2.3291055746249034,5.542425657792307,-4.660828261837613,0.0,1.0,1.0,0.0,1.0,1.0,65.73914978027344,62.73652612479854,-21306808.84305257,133049210.0,-0.08487676089310231,-57719.408125990405,-22.596700188707707,3.7048611272251466,1542303.247150417,65.34831552881737,66.32947730162101,1051.2538432036617,65.16900000000001,70.08667790730544,60.25132209269458,15.092077237046544,0.4045281108584724,0.0,0.0,65.22755333333333,67.36753333333334,63.08757333333334,6.5615829220637165,0.2669246130026133,0.0,0.0,59.73,69.425,64.5775,14.876705181911642,0.46415678184631326,2.6079899999999987,0.0,1.7313076879707907,1.2678997692304161,0.46340791874037457,65.16900000000001,65.16900000000001,64.75782586189983,63.02651817392904,0.7891890882750937,0.5767519893746103,0.21243709890048346,0.28845254888064287,10.105514150802927,-9.493196319018416,170.5084739039197,145.86303241613962,24.64544148778009,64.7225,64.5775,64.65,64.5775,0.0,0.0,0.0,0.0,3.673095991282106,55.64224168711657,55.65917607361964,32.0,0.0,32.0,62.74018814523811,69.425,0.0,0.0,55.829849549201164,0.0,0.0,0.0,89.96926879014285,45.812860033212374,46.415678184631325,75.77343546055947,-53.584321815368675,1.3899999999999864,0.0,2.746951185202782,2.0298806726363114,0.7170705125664707,7.391596335259338,3.008195285624506,4.383401049634832,64.17230072901093,-6.92653238661064,-7.1781030362809695,6.800798137678754
