title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
Wright Investors Service Inc. Boosts Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-05,953 words,953,17,61,439934,AMBNWS2021,urn:contentItem:62KY-5YH1-JB40-X1Y7-00000-00
894 Shares in FedEx Co. ( NYSE :FDX) Acquired by M. Kulyk & Associates LLC,American Banking and Market News,,2021-05-05,916 words,916,17,61,439934,AMBNWS2021,urn:contentItem:5SVD-W631-JB40-X444-00000-00
Meeder Asset Management Inc. Has $2.92 Million Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-05,977 words,977,17,60,439934,AMBNWS2021,urn:contentItem:62KY-5XJ1-DXK2-M51T-00000-00
FedEx ( NYSE : FDX ) PT Raised to $350.00 at Berenberg Bank,Watchlist News,,2021-05-05,1015 words,1015,17,60,484299,AMCN-135127,urn:contentItem:62KS-RJ01-F03R-N4KR-00000-00
"UPS Donates $1 Million In Covid Aid To India , Joining Corporate Giants Including FedEx , Google And Amazon","Forbes.com (Forbes, Incorporated)",Melissa Holzberg Forbes Staff,2021-05-05,577 words,577,17,44,442244,FRBCOM2021,urn:contentItem:62M0-CG81-DXVP-51Y1-00000-00
FedEx Becomes Official Sponsor of the UEFA Champions League Sponsorship of prestigious football tournament reflects FedEx global presence and ambition to deliver 'football for good',Business Wire,,2021-05-05,625 words,625,17,44,7924,BWIRE2021,urn:contentItem:62KS-84K1-JBG1-8162-00000-00
Dupont Capital Management Corp Raises Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-06,969 words,969,36,67,439934,AMBNWS2021,urn:contentItem:62M5-4TB1-JB40-X0B2-00000-00
Seascape Capital Management Invests $1.33 Million in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-06,895 words,895,36,67,439934,AMBNWS2021,urn:contentItem:62M5-4T91-JB40-X37Y-00000-00
"FedEx Co. ( NYSE :FDX) VP Sells $3,002,700.00 in Stock",American Banking and Market News,,2021-05-06,833 words,833,36,65,439934,AMBNWS2021,urn:contentItem:62M5-4TH1-JB40-X3XD-00000-00
"Insider Selling: FedEx Co. ( NYSE : FDX ) Director Sells 3,015 Shares of Stock",American Banking and Market News,,2021-05-06,838 words,838,36,64,439934,AMBNWS2021,urn:contentItem:62M5-4TH1-JB40-X3X1-00000-00
Mitchell Capital Management Co. Raises Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-06,970 words,970,36,62,439934,AMBNWS2021,urn:contentItem:62M5-4TH1-JB40-X3D1-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Comerica Bank,American Banking and Market News,,2021-05-06,920 words,920,36,62,439934,AMBNWS2021,urn:contentItem:62M1-FKT1-JB40-X28S-00000-00
